Type,Price,Location,Baths,Area,Beds,Lat,Lng
Upper Portion,PKR2 Lakh,"DHA Defence, Lahore, Punjab",2,2 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4,31.4676379,74.3807788
House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6,31.4676379,74.3807788
House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5,31.4676379,74.3807788
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR4.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",6,2 Kanal,6,31.3388255,74.2051202
House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6,31.4676379,74.3807788
House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5,31.4676379,74.3807788
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",5,1.5 Kanal,5,31.4676379,74.3807788
House,PKR45 Thousand,"DHA Defence, Lahore, Punjab",1,3 Marla,1,31.4676379,74.3807788
