Type,Price,Location,Baths,Area,Beds
House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,6 Marla,3
House,PKR1.99 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
House,PKR1.5 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1.5 Lakh,"Model Town, Lahore, Punjab",-,12 Marla,-
House,PKR65 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,3
House,PKR65 Thousand,"Gulberg, Lahore, Punjab",4,8 Marla,4
Upper Portion,PKR35 Thousand,"Alfalah Town, Lahore, Punjab",2,10 Marla,3
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR70 Thousand,"Gulberg, Lahore, Punjab",3,14 Marla,3
Upper Portion,PKR45 Thousand,"Cantt, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR35 Thousand,"Cantt, Lahore, Punjab",2,5 Marla,2
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
Lower Portion,PKR1.9 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
Flat,PKR90 Thousand,"DHA Defence, Lahore, Punjab",2,5.3 Marla,2
House,PKR80 Thousand,"Johar Town, Lahore, Punjab",6,5 Marla,6
Upper Portion,PKR50 Thousand,"Pak Arab Housing Society, Lahore, Punjab",4,10 Marla,4
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Flat,PKR15 Thousand,"GT Road, Lahore, Punjab",1,3 Marla,2
Lower Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1.6 Lakh,"Gulberg, Lahore, Punjab",2,15 Marla,5
Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR25 Thousand,"Venus Housing Scheme, Lahore, Punjab",1,5 Marla,1
Flat,PKR50 Thousand,"DHA Defence, Lahore, Punjab",1,5.3 Marla,1
Upper Portion,PKR55 Thousand,"EME Society, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR50 Thousand,"Izmir Town, Lahore, Punjab",3,10 Marla,3
Lower Portion,PKR21 Thousand,"Johar Town, Lahore, Punjab",1,3 Marla,1
House,PKR68 Thousand,"Bahria Town, Lahore, Punjab",5,5 Marla,3
House,PKR1.3 Lakh,"Paragon City, Lahore, Punjab",5,12 Marla,4
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR35 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Flat,PKR80 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR57 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR85 Thousand,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",4,9 Marla,4
Upper Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,5
House,PKR1 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,5
House,PKR1 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,5
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR1.25 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
Upper Portion,PKR25 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,2
House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR45 Thousand,"Park View City, Lahore, Punjab",3,10 Marla,3
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,3.1 Marla,1
Upper Portion,PKR30 Thousand,"College Road, Lahore, Punjab",3,5 Marla,3
Lower Portion,PKR20 Thousand,"Nizamabad, Lahore, Punjab",3,5 Marla,2
House,PKR3.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,6 Marla,3
House,PKR1.99 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
House,PKR1.5 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1.5 Lakh,"Model Town, Lahore, Punjab",-,12 Marla,-
House,PKR65 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,3
House,PKR65 Thousand,"Gulberg, Lahore, Punjab",4,8 Marla,4
Upper Portion,PKR35 Thousand,"Alfalah Town, Lahore, Punjab",2,10 Marla,3
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR70 Thousand,"Gulberg, Lahore, Punjab",3,14 Marla,3
Upper Portion,PKR45 Thousand,"Cantt, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR35 Thousand,"Cantt, Lahore, Punjab",2,5 Marla,2
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
Lower Portion,PKR1.9 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
Flat,PKR90 Thousand,"DHA Defence, Lahore, Punjab",2,5.3 Marla,2
House,PKR80 Thousand,"Johar Town, Lahore, Punjab",6,5 Marla,6
Upper Portion,PKR50 Thousand,"Pak Arab Housing Society, Lahore, Punjab",4,10 Marla,4
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Flat,PKR15 Thousand,"GT Road, Lahore, Punjab",1,3 Marla,2
Lower Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1.6 Lakh,"Gulberg, Lahore, Punjab",2,15 Marla,5
Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR25 Thousand,"Venus Housing Scheme, Lahore, Punjab",1,5 Marla,1
Flat,PKR50 Thousand,"DHA Defence, Lahore, Punjab",1,5.3 Marla,1
Upper Portion,PKR55 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR35 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR48 Thousand,"New Super Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR88 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
House,PKR2 Lakh,"Divine Gardens, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR55 Thousand,"Divine Gardens, Lahore, Punjab",3,10 Marla,3
House,PKR60 Thousand,"Divine Gardens, Lahore, Punjab",4,5 Marla,3
House,PKR1 Lakh,"Divine Gardens, Lahore, Punjab",5,10 Marla,4
House,PKR80 Thousand,"Paragon City, Lahore, Punjab",4,8 Marla,3
Lower Portion,PKR1.2 Lakh,"Model Town, Lahore, Punjab",5,1 Kanal,3
Upper Portion,PKR65 Thousand,"Paragon City, Lahore, Punjab",3,12 Marla,3
House,PKR50 Thousand,"Bahria Town, Lahore, Punjab",5,5 Marla,3
Lower Portion,PKR18 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
House,PKR55 Thousand,"State Life Housing Society, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR59.5 Thousand,"Bahria Town, Lahore, Punjab",3,12 Marla,3
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",5,2 Kanal,4
House,PKR4.15 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR4 Lakh,"Cantt, Lahore, Punjab",8,1.2 Kanal,7
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
House,PKR1.6 Lakh,"Model Town, Lahore, Punjab",4,1 Kanal,4
Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.95 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Lower Portion,PKR26 Thousand,"Mateen Avenue, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR40 Thousand,"Township, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR50 Thousand,"Township, Lahore, Punjab",2,10 Marla,2
House,PKR80 Thousand,"College Road, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR68 Thousand,"PIA Housing Scheme, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR70 Thousand,"Gul-e-Damin, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR40 Thousand,"Cantt, Lahore, Punjab",3,10 Marla,3
Lower Portion,PKR18 Thousand,"Walton Road, Lahore, Punjab",1,2.5 Marla,1
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR75 Thousand,"Paragon City, Lahore, Punjab",3,1 Kanal,3
House,PKR60 Thousand,"Paragon City, Lahore, Punjab",4,6 Marla,3
House,PKR35 Thousand,"Daroghewala, Lahore, Punjab",2,5 Marla,3
House,PKR50 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR1.2 Lakh,"Paragon City, Lahore, Punjab",5,10 Marla,6
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR3.8 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",4,2 Kanal,3
Lower Portion,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Upper Portion,PKR45 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR75 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR30 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,5 Marla,1
Lower Portion,PKR45 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,10 Marla,2
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1.4 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,12 Marla,4
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
Lower Portion,PKR1.3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR5.25 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR4.75 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR3.8 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",4,2 Kanal,3
Lower Portion,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Upper Portion,PKR45 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR75 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR30 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,5 Marla,1
Lower Portion,PKR45 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR27 Thousand,"Canal Garden, Lahore, Punjab",2,5 Marla,1
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR90 Thousand,"Johar Town, Lahore, Punjab",3,1 Kanal,3
House,PKR40 Thousand,"Farooq Colony, Lahore, Punjab",3,3 Marla,4
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,5
House,PKR20 Thousand,"Khayaban-e-Amin, Lahore, Punjab",1,5 Marla,2
Flat,PKR1.5 Lakh,"Gulberg, Lahore, Punjab",3,9.8 Marla,3
House,PKR6 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,5
Flat,PKR2.5 Lakh,"Gulberg, Lahore, Punjab",3,10.2 Marla,3
Flat,PKR1.8 Lakh,"Gulberg, Lahore, Punjab",3,10.2 Marla,3
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Flat,PKR2.25 Lakh,"Gulberg, Lahore, Punjab",2,7.1 Marla,2
Upper Portion,PKR45 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,4
House,PKR9 Lakh,"Gulberg, Lahore, Punjab",10,2.7 Kanal,11
Flat,PKR2.6 Lakh,"Gulberg, Lahore, Punjab",3,8.9 Marla,3
House,PKR6 Lakh,"Gulberg, Lahore, Punjab",5,1.5 Kanal,5
House,PKR3 Lakh,"Gulberg, Lahore, Punjab",-,1 Kanal,3
House,PKR2 Lakh,"Gulberg, Lahore, Punjab",3,10 Marla,3
Flat,PKR3.1 Lakh,"Gulberg, Lahore, Punjab",-,11 Marla,-
Flat,PKR1.9 Lakh,"Gulberg, Lahore, Punjab",3,11.1 Marla,3
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,4
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.35 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR1.38 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR50 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",5,18 Marla,4
House,PKR46 Thousand,"Paragon City, Lahore, Punjab",3,4 Marla,3
House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",7,10 Marla,5
Upper Portion,PKR26 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.3 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1 Lakh,"Bahria Town, Lahore, Punjab",7,10 Marla,5
Upper Portion,PKR47 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
Upper Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2
House,PKR2.8 Lakh,"Model Town, Lahore, Punjab",5,2 Kanal,4
Lower Portion,PKR45 Thousand,"Chinar Bagh, Lahore, Punjab",-,1 Kanal,-
House,PKR4 Lakh,"Gulberg, Lahore, Punjab",5,1.5 Kanal,5
Upper Portion,PKR60 Thousand,"OPF Housing Scheme, Lahore, Punjab",4,1.2 Kanal,3
House,PKR42 Thousand,"Allama Iqbal Town, Lahore, Punjab",3,3 Marla,3
House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,4
House,PKR50 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
House,PKR2.75 Lakh,"Gulberg, Lahore, Punjab",-,14 Marla,-
House,PKR2.75 Lakh,"Gulberg, Lahore, Punjab",5,14 Marla,4
Upper Portion,PKR60 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,16 Marla,4
Flat,PKR20 Thousand,"Central Park Housing Scheme, Lahore, Punjab",2,4 Marla,2
House,PKR1.32 Lakh,"Johar Town, Lahore, Punjab",6,10 Marla,5
Upper Portion,PKR45 Thousand,"Canal Garden, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR20 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,3.5 Marla,1
House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
Upper Portion,PKR25 Thousand,"Main Canal Bank Road, Lahore, Punjab",3,5 Marla,2
House,PKR34 Thousand,"Khayaban-e-Amin, Lahore, Punjab",2,5 Marla,3
House,PKR33 Thousand,"Khayaban-e-Amin, Lahore, Punjab",2,5 Marla,3
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Flat,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
House,PKR95 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",6,10 Marla,6
Flat,PKR72 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Lower Portion,PKR18 Thousand,"Islam Nagar, Lahore, Punjab",1,3 Marla,1
Upper Portion,PKR33 Thousand,"New Super Town, Lahore, Punjab",2,3.5 Marla,2
Upper Portion,PKR32 Thousand,"Cavalry Ground, Lahore, Punjab",2,5 Marla,2
Lower Portion,PKR30 Thousand,"Cavalry Ground, Lahore, Punjab",2,5 Marla,1
Lower Portion,PKR25 Thousand,"Cavalry Ground, Lahore, Punjab",1,5 Marla,1
Upper Portion,PKR40 Thousand,"Cavalry Ground, Lahore, Punjab",3,4 Marla,3
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR2.2 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,5
House,PKR1.95 Lakh,"Askari, Lahore, Punjab",6,1 Kanal,5
Flat,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
House,PKR2.08 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
House,PKR2 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
House,PKR2.09 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
House,PKR2.05 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
House,PKR2.05 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
House,PKR2.1 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
House,PKR2.1 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
House,PKR1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,4
House,PKR1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,4
House,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
House,PKR1.1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1.1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1.1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
House,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
House,PKR95 Thousand,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1.1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1.1 Lakh,"Askari, Lahore, Punjab",5,10 Marla,5
House,PKR1.8 Lakh,"Askari, Lahore, Punjab",6,17 Marla,5
Upper Portion,PKR90 Thousand,"Eden, Lahore, Punjab",3,1 Kanal,3
